"country","year","co2","co2_per_capita","coal_co2","oil_co2","gas_co2","total_fossil_co2","yoy_growth_percent"
Thailand,2000,167.3521576,2.65605402,33.0995903,79.34713745,39.31984711,151.76657486,0.07022878175732956
Thailand,2001,172.2668304,2.706421852,36.80986023,75.16544342,42.53369904,154.50900269,2.936725089464879
Thailand,2002,184.6654663,2.873435736,39.24367142,78.93773651,46.4687767,164.65018462999998,7.1973437203265505
Thailand,2003,191.087738,2.945786238,39.90327072,83.85965729,49.47031403,173.23324204,3.4777870647274405
Thailand,2004,207.3306885,3.167673111,44.76274109,91.75305939,52.10193634,188.61773682,8.500257876306016
Thailand,2005,214.3251495,3.246494055,48.33264923,90.83865356,54.46209717,193.63339996,3.373577279178331
Thailand,2006,215.8246613,3.242183685,51.31309128,87.30780792,55.57892609,194.19982529,0.6996434172556093
Thailand,2007,224.0825653,3.339412689,57.8030014,84.63279724,59.25314713,201.68894577,3.8262096417801708
Thailand,2008,224.2487488,3.316316128,62.25080109,78.48361206,63.70021439,204.43462754,0.07416172685166429
Thailand,2009,228.8362274,3.359257221,62.40338135,79.82188416,67.51344299,209.73870849999997,2.045709786363823
Thailand,2010,241.0189819,3.514449358,64.00843048,80.78515625,77.3453598,222.13894653,5.3237875132003625
Thailand,2011,244.8781586,3.548588037,65.34967041,84.60868073,76.01677704,225.97512817999998,1.6011920179802261
Thailand,2012,262.3476563,3.778260946,68.15479279,90.83322144,83.61499786,242.60301209,7.133955024766335
Thailand,2013,263.7535095,3.776262999,67.14872742,91.3812027,85.50389862,244.03382874000002,0.5358741220818842
Thailand,2014,272.4876404,3.880686045,73.79377747,91.13677216,87.09275055,252.02330018,3.311474761627757
Thailand,2015,277.0987244,3.928205729,72.14248657,95.21759033,88.91205597,256.27213287,1.6922176702147427
Thailand,2016,284.0454712,4.008553982,73.60014343,98.92397308,87.75933838,260.28345489000003,2.506957336249661
Thailand,2017,283.3476257,3.981828213,73.82398224,101.14608,85.28904724,260.25910948,-0.24568091054289906
Thailand,2018,288.3049011,4.039237022,78.56426239,102.3299103,84.33164215,265.22581484,1.7495383586692306
Thailand,2019,281.8774414,3.941114664,70.06038666,103.6518326,85.26955414,258.9817734,-2.229396612917999
